station,observation_time,temperature_c,dewpoint_c,dewpoint_spread_c,wind_direction_deg,wind_speed_kt,visibility_sm,ceiling_ft,flight_category
KCOS,2026-07-29T15:54:00+00:00,28.3,13.9,14.4,50,10,10.0,,VFR
KCOS,2026-07-29T16:54:00+00:00,30,10.6,19.4,60,11,10.0,,VFR
KCOS,2026-07-29T17:34:00+00:00,27.8,16.7,11.1,160,17,10.0,,VFR
KCOS,2026-07-29T17:43:00+00:00,27.8,16.7,11.1,140,14,10.0,,VFR
KCOS,2026-07-29T17:54:00+00:00,26.7,17.2,9.5,140,14,10.0,,VFR
KCOS,2026-07-29T18:54:00+00:00,28.9,16.1,12.8,130,15,10.0,,VFR
KCOS,2026-07-29T19:54:00+00:00,28.3,15,13.3,160,13,10.0,,VFR
KCOS,2026-07-29T20:54:00+00:00,28.3,15,13.3,180,7,10.0,,VFR
KCOS,2026-07-29T21:32:00+00:00,27.8,15,12.8,200,6,10.0,,VFR
KCOS,2026-07-29T21:54:00+00:00,26.1,14.4,11.7,200,6,10.0,,VFR
KCOS,2026-07-29T22:00:00+00:00,25.6,13.9,11.7,290,10,9.0,,VFR
KCOS,2026-07-29T22:44:00+00:00,22.2,17.2,5.0,290,14,10.0,,VFR
KCOS,2026-07-29T22:54:00+00:00,21.7,16.7,5.0,290,14,10.0,,VFR
KCOS,2026-07-29T23:03:00+00:00,21.7,16.7,5.0,350,16,10.0,,VFR
KCOS,2026-07-29T23:54:00+00:00,22.2,14.4,7.8,360,15,10.0,,VFR
KCOS,2026-07-30T00:43:00+00:00,22.2,13.9,8.3,290,8,10.0,,VFR
KCOS,2026-07-30T00:50:00+00:00,22,14,8,310,8,10.0,,VFR
KCOS,2026-07-30T00:54:00+00:00,22.2,13.9,8.3,310,6,10.0,,VFR
KCOS,2026-07-30T01:54:00+00:00,20,16.1,3.9,320,9,9.0,11000,VFR
KCOS,2026-07-30T02:54:00+00:00,20,14.4,5.6,30,6,10.0,12000,VFR
KCOS,2026-07-30T02:59:00+00:00,20.6,14.4,6.2,290,7,10.0,,VFR
KCOS,2026-07-30T03:15:00+00:00,20,15,5,320,6,10.0,,VFR
KCOS,2026-07-30T03:54:00+00:00,19.4,15.6,3.8,30,7,10.0,,VFR
KCOS,2026-07-30T04:54:00+00:00,19.4,15.6,3.8,30,4,10.0,20000,VFR
KCOS,2026-07-30T05:54:00+00:00,18.9,15.6,3.3,100,9,10.0,,VFR
KCOS,2026-07-30T06:54:00+00:00,17.8,16.1,1.7,150,4,10.0,,VFR
KCOS,2026-07-30T07:54:00+00:00,16.7,16.1,0.6,10,4,10.0,20000,VFR
KCOS,2026-07-30T08:54:00+00:00,16.1,15,1.1,40,7,10.0,,VFR
KCOS,2026-07-30T09:54:00+00:00,16.7,15,1.7,90,6,10.0,,VFR
KCOS,2026-07-30T10:54:00+00:00,16.1,15,1.1,50,5,10.0,,VFR
KCOS,2026-07-30T11:54:00+00:00,15,13.9,1.1,30,6,10.0,,VFR
KCOS,2026-07-30T12:54:00+00:00,16.7,15,1.7,20,6,10.0,,VFR
KCOS,2026-07-30T13:54:00+00:00,20,15.6,4.4,30,3,10.0,,VFR
KCOS,2026-07-30T14:54:00+00:00,22.8,14.4,8.4,VRB,3,10.0,,VFR
KCOS,2026-07-30T15:54:00+00:00,25,15,10,120,3,10.0,,VFR
KCOS,2026-07-30T16:54:00+00:00,28.3,13.3,15.0,150,4,10.0,,VFR
KCOS,2026-07-30T17:54:00+00:00,30.6,11.7,18.9,VRB,3,10.0,,VFR
