station,observation_time,temperature_c,dewpoint_c,dewpoint_spread_c,wind_direction_deg,wind_speed_kt,visibility_sm,ceiling_ft,flight_category
KSEA,2026-07-17T17:53:00+00:00,17.2,8.9,8.3,200,7,10.0,,VFR
KSEA,2026-07-17T18:53:00+00:00,18.9,8.3,10.6,240,9,10.0,,VFR
KSEA,2026-07-17T19:53:00+00:00,18.9,8.9,10.0,240,8,10.0,,VFR
KSEA,2026-07-17T20:53:00+00:00,19.4,9.4,10.0,220,5,10.0,,VFR
KSEA,2026-07-17T21:53:00+00:00,20.6,9.4,11.2,230,7,10.0,,VFR
KSEA,2026-07-17T22:53:00+00:00,20,9.4,10.6,,,10.0,,VFR
KSEA,2026-07-17T23:22:00+00:00,21.1,8.9,12.2,220,5,10.0,,VFR
KSEA,2026-07-17T23:53:00+00:00,21.7,8.3,13.4,280,5,10.0,,VFR
KSEA,2026-07-18T00:53:00+00:00,21.1,8.3,12.8,VRB,4,10.0,,VFR
KSEA,2026-07-18T01:53:00+00:00,21.1,8.9,12.2,210,7,10.0,5000,VFR
KSEA,2026-07-18T02:53:00+00:00,20,9.4,10.6,200,7,10.0,5000,VFR
KSEA,2026-07-18T03:53:00+00:00,19.4,9.4,10.0,230,6,10.0,4900,VFR
KSEA,2026-07-18T04:53:00+00:00,18.3,11.1,7.2,240,6,10.0,,VFR
KSEA,2026-07-18T05:53:00+00:00,17.2,11.7,5.5,280,4,10.0,4500,VFR
KSEA,2026-07-18T06:53:00+00:00,16.7,11.7,5.0,260,3,10.0,4700,VFR
KSEA,2026-07-18T07:53:00+00:00,16.1,11.7,4.4,300,3,10.0,4400,VFR
KSEA,2026-07-18T08:53:00+00:00,15.6,11.1,4.5,230,3,10.0,,VFR
KSEA,2026-07-18T09:53:00+00:00,15.6,11.7,3.9,190,3,10.0,,VFR
KSEA,2026-07-18T10:53:00+00:00,15,11.7,3.3,210,7,10.0,4700,VFR
KSEA,2026-07-18T11:53:00+00:00,13.9,11.7,2.2,230,5,10.0,,VFR
