station,observation_time,temperature_c,dewpoint_c,dewpoint_spread_c,wind_direction_deg,wind_speed_kt,visibility_sm,ceiling_ft,flight_category,target_time,future_observation_time,future_flight_category
KSEA,2026-07-17 17:53:00+00:00,17.2,8.9,8.3,200,7.0,10.0,,VFR,2026-07-17 18:53:00+00:00,2026-07-17 18:53:00+00:00,VFR
KSEA,2026-07-17 18:53:00+00:00,18.9,8.3,10.6,240,9.0,10.0,,VFR,2026-07-17 19:53:00+00:00,2026-07-17 19:53:00+00:00,VFR
KSEA,2026-07-17 19:53:00+00:00,18.9,8.9,10.0,240,8.0,10.0,,VFR,2026-07-17 20:53:00+00:00,2026-07-17 20:53:00+00:00,VFR
KSEA,2026-07-17 20:53:00+00:00,19.4,9.4,10.0,220,5.0,10.0,,VFR,2026-07-17 21:53:00+00:00,2026-07-17 21:53:00+00:00,VFR
KSEA,2026-07-17 21:53:00+00:00,20.6,9.4,11.2,230,7.0,10.0,,VFR,2026-07-17 22:53:00+00:00,2026-07-17 22:53:00+00:00,VFR
KSEA,2026-07-17 22:53:00+00:00,20.0,9.4,10.6,,,10.0,,VFR,2026-07-17 23:53:00+00:00,2026-07-17 23:53:00+00:00,VFR
KSEA,2026-07-17 23:53:00+00:00,21.7,8.3,13.4,280,5.0,10.0,,VFR,2026-07-18 00:53:00+00:00,2026-07-18 00:53:00+00:00,VFR
KSEA,2026-07-18 00:53:00+00:00,21.1,8.3,12.8,VRB,4.0,10.0,,VFR,2026-07-18 01:53:00+00:00,2026-07-18 01:53:00+00:00,VFR
KSEA,2026-07-18 01:53:00+00:00,21.1,8.9,12.2,210,7.0,10.0,5000.0,VFR,2026-07-18 02:53:00+00:00,2026-07-18 02:53:00+00:00,VFR
KSEA,2026-07-18 02:53:00+00:00,20.0,9.4,10.6,200,7.0,10.0,5000.0,VFR,2026-07-18 03:53:00+00:00,2026-07-18 03:53:00+00:00,VFR
KSEA,2026-07-18 03:53:00+00:00,19.4,9.4,10.0,230,6.0,10.0,4900.0,VFR,2026-07-18 04:53:00+00:00,2026-07-18 04:53:00+00:00,VFR
KSEA,2026-07-18 04:53:00+00:00,18.3,11.1,7.2,240,6.0,10.0,,VFR,2026-07-18 05:53:00+00:00,2026-07-18 05:53:00+00:00,VFR
KSEA,2026-07-18 05:53:00+00:00,17.2,11.7,5.5,280,4.0,10.0,4500.0,VFR,2026-07-18 06:53:00+00:00,2026-07-18 06:53:00+00:00,VFR
KSEA,2026-07-18 06:53:00+00:00,16.7,11.7,5.0,260,3.0,10.0,4700.0,VFR,2026-07-18 07:53:00+00:00,2026-07-18 07:53:00+00:00,VFR
KSEA,2026-07-18 07:53:00+00:00,16.1,11.7,4.4,300,3.0,10.0,4400.0,VFR,2026-07-18 08:53:00+00:00,2026-07-18 08:53:00+00:00,VFR
KSEA,2026-07-18 08:53:00+00:00,15.6,11.1,4.5,230,3.0,10.0,,VFR,2026-07-18 09:53:00+00:00,2026-07-18 09:53:00+00:00,VFR
KSEA,2026-07-18 09:53:00+00:00,15.6,11.7,3.9,190,3.0,10.0,,VFR,2026-07-18 10:53:00+00:00,2026-07-18 10:53:00+00:00,VFR
KSEA,2026-07-18 10:53:00+00:00,15.0,11.7,3.3,210,7.0,10.0,4700.0,VFR,2026-07-18 11:53:00+00:00,2026-07-18 11:53:00+00:00,VFR
KSEA,2026-07-18 11:53:00+00:00,13.9,11.7,2.2,230,5.0,10.0,,VFR,2026-07-18 12:53:00+00:00,2026-07-18 12:53:00+00:00,VFR
KSEA,2026-07-18 12:28:00+00:00,13.3,11.7,1.6,250,4.0,10.0,,VFR,2026-07-18 13:28:00+00:00,2026-07-18 13:25:00+00:00,IFR
KSEA,2026-07-18 12:53:00+00:00,13.3,11.7,1.6,210,4.0,10.0,,VFR,2026-07-18 13:53:00+00:00,2026-07-18 13:53:00+00:00,IFR
KSEA,2026-07-18 13:53:00+00:00,13.9,12.2,1.7,220,4.0,10.0,500.0,IFR,2026-07-18 14:53:00+00:00,2026-07-18 14:53:00+00:00,IFR
KSEA,2026-07-18 14:53:00+00:00,14.4,12.2,2.2,200,6.0,10.0,600.0,IFR,2026-07-18 15:53:00+00:00,2026-07-18 15:53:00+00:00,IFR
KSEA,2026-07-18 15:53:00+00:00,15.0,12.2,2.8,200,8.0,10.0,800.0,IFR,2026-07-18 16:53:00+00:00,2026-07-18 16:53:00+00:00,MVFR
KSEA,2026-07-18 16:53:00+00:00,15.6,11.7,3.9,240,9.0,10.0,1000.0,MVFR,2026-07-18 17:53:00+00:00,2026-07-18 17:53:00+00:00,VFR
KSEA,2026-07-18 17:50:00+00:00,17.0,12.0,5.0,220,5.0,10.0,,VFR,2026-07-18 18:50:00+00:00,2026-07-18 18:53:00+00:00,VFR
